0.094, 1.261
0.124, 1.484
0.165, 1.666
0.242, 1.914
0.337, 1.959
0.461, 1.913
0.602, 1.703
0.811, 1.414
1.023, 1.173
1.313, 0.930
1.657, 0.703
2.091, 0.496
2.682, 0.342
3.275, 0.230
4.133, 0.145
5.483, 0.085
7.038, 0.045
9.494, 0.025
12.186, 0.012
15.903, 0.007
19.745, 0.004
25.345, 0.002
33.629, 0.001
43.893, 0.000
